                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.1273,                 2.4452,                 4.0043,                 1.3176,                0.46111,                0.23693,                0.23353,                0.16611,                0.43683,                0.23611,                0.23203,                0.15513,                0.98156,                 1.9464,                   2.27,                 1.2242,              0.0001221,              0.0001221,              0.0001221
                      2,                0.95119,                 1.8804,                 2.2489,                  1.164,                0.34417,                0.33987,                0.27839,                0.20355,                 0.3896,                0.33348,                0.27403,                0.19205,                0.99496,                 1.9009,                 1.9003,                 1.2188,             0.00024057,             0.00024057,             0.00024057
                      3,                0.94164,                 1.7973,                 1.9304,                  1.143,                0.43252,                0.29495,                0.26894,                0.19105,                0.43829,                0.29123,                0.26585,                0.17537,                 1.0654,                 2.1618,                 1.8746,                 1.2785,             0.00035416,             0.00035416,             0.00035416
                      4,                0.93684,                 1.7578,                 1.8301,                 1.1415,                0.32583,                0.31532,                0.29521,                0.21208,                0.33376,                0.31451,                0.29661,                0.20352,                 1.0499,                 1.9079,                 1.8356,                 1.2658,             0.00034802,             0.00034802,             0.00034802
                      5,                0.91746,                 1.7177,                 1.7303,                 1.1297,                0.31214,                0.33702,                0.31139,                0.22903,                0.31591,                0.33772,                0.31095,                0.22322,                 1.0131,                 1.8779,                 1.7597,                 1.2331,              0.0003407,              0.0003407,              0.0003407
                      6,                0.87786,                 1.5934,                 1.5724,                 1.0967,                0.44958,                 0.3638,                0.35288,                0.26998,                 0.4798,                 0.3487,                0.35313,                0.25248,                0.94106,                 1.7847,                 1.6344,                 1.1731,             0.00033337,             0.00033337,             0.00033337
                      7,                0.86869,                 1.6019,                 1.5431,                 1.0931,                0.39628,                0.36307,                0.36159,                0.27057,                0.39901,                0.36664,                0.36052,                0.25297,                0.94654,                 1.7917,                  1.626,                 1.1736,             0.00032604,             0.00032604,             0.00032604
                      8,                0.85621,                 1.5532,                 1.4386,                 1.0766,                0.42387,                0.34453,                0.33999,                0.24488,                 0.4277,                0.34594,                0.33903,                0.23415,                0.95678,                 1.7725,                 1.6249,                 1.1843,             0.00031872,             0.00031872,             0.00031872
                      9,                0.81863,                 1.5213,                 1.4076,                 1.0665,                0.36506,                0.38501,                0.35029,                0.25847,                0.36316,                0.38166,                0.34611,                0.25121,                0.93697,                 1.7523,                 1.6143,                 1.1796,             0.00031139,             0.00031139,             0.00031139
                     10,                0.82386,                 1.4854,                 1.3549,                 1.0613,                0.47311,                 0.3236,                0.36447,                0.27199,                0.47895,                0.32753,                0.36738,                0.26452,                0.97145,                 1.7452,                 1.5661,                  1.198,             0.00030407,             0.00030407,             0.00030407
                     11,                0.79228,                 1.4426,                 1.3103,                  1.042,                0.39339,                0.37675,                0.35267,                0.25757,                0.38849,                0.38464,                0.35124,                0.25198,                 0.9431,                 1.7086,                 1.5594,                 1.1769,             0.00029674,             0.00029674,             0.00029674
                     12,                0.78511,                 1.4353,                 1.2664,                 1.0386,                0.39045,                0.37804,                0.35381,                0.26958,                0.40637,                0.37797,                0.35366,                0.25798,                0.92909,                  1.718,                 1.5708,                 1.1698,             0.00028941,             0.00028941,             0.00028941
                     13,                0.77592,                 1.4013,                 1.2299,                 1.0329,                 0.5642,                0.34195,                0.36755,                0.27825,                0.55858,                0.34195,                0.36541,                0.26255,                0.92686,                 1.8212,                 1.5674,                 1.1619,             0.00028209,             0.00028209,             0.00028209
                     14,                0.77115,                 1.3839,                 1.2123,                 1.0304,                   0.47,                0.37441,                 0.3571,                0.26887,                0.47271,                0.37621,                 0.3573,                0.25899,                0.92772,                 1.7111,                 1.5553,                 1.1741,             0.00027476,             0.00027476,             0.00027476
                     15,                0.76751,                 1.3611,                 1.1824,                 1.0272,                0.46496,                0.37584,                0.35908,                0.26446,                0.45907,                0.37868,                0.35961,                0.25999,                0.97252,                 1.7328,                 1.5822,                 1.1963,             0.00026744,             0.00026744,             0.00026744
                     16,                0.74329,                 1.3106,                 1.1081,                 1.0105,                0.38577,                0.41716,                0.36858,                0.27761,                0.38532,                0.41885,                0.37051,                0.27021,                0.92548,                 1.7448,                  1.526,                 1.1739,             0.00026011,             0.00026011,             0.00026011
                     17,                0.72539,                 1.3058,                 1.1092,                 1.0008,                0.44708,                0.39782,                 0.3912,                0.29112,                0.45447,                0.39555,                0.38906,                 0.2819,                0.92197,                 1.7135,                 1.4988,                 1.1558,             0.00025278,             0.00025278,             0.00025278
