                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.1025,                 2.3174,                 2.8766,                 1.2011,                  0.413,                0.30519,                0.27907,                 0.2064,                0.41948,                0.29676,                0.27589,                0.19359,                0.92966,                 1.8155,                 1.7217,                  1.086,             0.00012279,             0.00012279,             0.00012279
                      2,                0.96019,                 1.8667,                 1.8444,                 1.0827,                0.48939,                0.33076,                0.32517,                 0.2391,                0.49381,                0.32453,                0.31749,                0.22174,                 0.9582,                 1.8472,                 1.6272,                 1.1038,             0.00024125,             0.00024125,             0.00024125
                      3,                0.96631,                 1.8232,                 1.7064,                 1.0877,                0.40433,                0.36057,                0.31976,                0.23102,                0.39861,                0.35474,                0.31329,                0.21096,                 1.0002,                 1.8517,                 1.6175,                  1.116,             0.00035482,             0.00035482,             0.00035482
                      4,                0.96097,                 1.8039,                 1.6356,                 1.0823,                0.36456,                0.40607,                 0.3472,                0.25515,                0.36824,                0.40667,                0.34487,                0.23764,                0.96373,                 1.7967,                 1.5254,                  1.109,             0.00034802,             0.00034802,             0.00034802
                      5,                0.94032,                 1.7551,                 1.5606,                 1.0724,                0.43301,                0.41005,                0.37483,                0.28325,                0.42608,                0.40659,                0.36966,                0.26727,                0.94258,                 1.7555,                 1.4402,                 1.0884,              0.0003407,              0.0003407,              0.0003407
                      6,                0.91868,                 1.6979,                 1.5014,                 1.0581,                0.50244,                0.37875,                0.36923,                0.27528,                0.50292,                 0.3786,                 0.3661,                0.26133,                0.94273,                 1.7441,                 1.4176,                 1.0891,             0.00033337,             0.00033337,             0.00033337
                      7,                0.90333,                 1.6798,                 1.4454,                 1.0486,                0.48632,                0.39188,                0.39098,                0.29103,                0.48994,                0.39277,                0.38789,                0.27393,                0.93879,                 1.7506,                  1.402,                 1.0946,             0.00032604,             0.00032604,             0.00032604
                      8,                 0.8805,                 1.6103,                  1.395,                 1.0369,                0.45656,                0.40885,                 0.3848,                0.28746,                0.46565,                0.41065,                0.38798,                0.27587,                0.94041,                 1.6949,                 1.3566,                 1.1118,             0.00031872,             0.00031872,             0.00031872
                      9,                0.84398,                 1.5465,                 1.3159,                 1.0166,                0.45548,                0.44079,                0.40952,                0.31653,                 0.4623,                0.43241,                0.40478,                0.29718,                0.89759,                 1.6652,                 1.3501,                 1.0707,             0.00031139,             0.00031139,             0.00031139
                     10,                0.82465,                 1.4821,                 1.2524,                 1.0076,                0.46372,                0.43197,                 0.4046,                0.31015,                0.46206,                0.43086,                 0.4044,                0.29029,                0.89455,                 1.7067,                 1.3303,                 1.0645,             0.00030407,             0.00030407,             0.00030407
                     11,                 0.8067,                 1.4495,                  1.218,                0.99938,                 0.4729,                0.44981,                  0.411,                0.31362,                0.47554,                0.44043,                 0.4076,                 0.2946,                  0.879,                 1.6565,                 1.3291,                 1.0609,             0.00029674,             0.00029674,             0.00029674
                     12,                0.79183,                   1.42,                 1.1805,                0.99108,                0.48384,                0.45802,                0.43699,                 0.3393,                0.47152,                0.46073,                 0.4345,                0.31844,                0.87042,                 1.6272,                 1.2866,                 1.0558,             0.00028941,             0.00028941,             0.00028941
                     13,                0.78213,                 1.3949,                 1.1519,                0.98555,                0.54462,                0.40507,                0.42231,                0.32415,                0.54523,                0.40061,                0.41622,                 0.3025,                0.90272,                 1.6929,                 1.3251,                  1.065,             0.00028209,             0.00028209,             0.00028209
                     14,                0.77566,                  1.381,                 1.1207,                0.97852,                0.48598,                0.43579,                0.41016,                0.31651,                0.48328,                0.43542,                0.40881,                0.29614,                0.88706,                  1.661,                 1.3156,                 1.0639,             0.00027476,             0.00027476,             0.00027476
                     15,                 0.8036,                 1.4571,                 1.1846,                0.99636,                0.52312,                0.44093,                0.43033,                0.33579,                0.54832,                0.41716,                0.42425,                0.31365,                0.88515,                 1.6464,                  1.315,                 1.0619,             0.00026744,             0.00026744,             0.00026744
                     16,                0.79791,                 1.4297,                  1.163,                0.99365,                0.49444,                0.47185,                0.42701,                0.32895,                0.49746,                0.46363,                0.41787,                0.30786,                 0.8719,                 1.6147,                  1.283,                 1.0504,             0.00026011,             0.00026011,             0.00026011
                     17,                0.79339,                 1.4358,                 1.1378,                0.98734,                0.49578,                0.46728,                0.43907,                0.34518,                0.49449,                0.46351,                0.43652,                0.32304,                0.87533,                 1.6408,                 1.3068,                 1.0484,             0.00025278,             0.00025278,             0.00025278
                     18,                  0.774,                 1.3988,                 1.1161,                0.98355,                0.56226,                0.44692,                0.45675,                0.35607,                 0.5596,                0.44594,                0.45561,                0.33498,                0.85882,                 1.6357,                 1.2512,                 1.0409,             0.00024546,             0.00024546,             0.00024546
                     19,                0.77192,                 1.3887,                 1.0876,                0.98068,                0.52449,                 0.4353,                0.43136,                0.33927,                 0.5229,                0.43166,                0.42756,                0.31675,                0.84943,                 1.6283,                 1.2673,                 1.0346,             0.00023813,             0.00023813,             0.00023813
                     20,                0.76219,                  1.352,                 1.0644,                0.97359,                0.50924,                 0.4538,                 0.4353,                0.34153,                0.50947,                0.45376,                  0.436,                0.31998,                0.84487,                 1.6298,                 1.2666,                 1.0399,             0.00023081,             0.00023081,             0.00023081
                     21,                0.75725,                 1.3517,                 1.0401,                0.96697,                0.55664,                0.46632,                0.46135,                0.36517,                0.54883,                0.47103,                0.45698,                0.33843,                0.85074,                 1.6174,                 1.2319,                 1.0419,             0.00022348,             0.00022348,             0.00022348
                     22,                0.74999,                 1.3394,                 1.0213,                0.96512,                0.55457,                 0.4508,                0.45079,                 0.3542,                 0.5525,                0.45145,                0.44825,                0.32928,                0.85331,                 1.6259,                 1.2629,                 1.0463,             0.00021615,             0.00021615,             0.00021615
                     23,                 0.7453,                 1.3206,                0.99926,                0.96358,                0.56447,                0.45723,                0.46294,                0.36379,                0.56336,                0.45755,                0.46178,                0.33924,                0.84339,                 1.6033,                 1.2226,                 1.0391,             0.00020883,             0.00020883,             0.00020883
                     24,                0.73129,                 1.3001,                0.98443,                0.95787,                 0.5639,                 0.4607,                0.45465,                0.35916,                0.55605,                0.46292,                0.45325,                0.33316,                0.85332,                 1.5801,                 1.2345,                 1.0498,              0.0002015,              0.0002015,              0.0002015
                     25,                0.72905,                 1.3073,                0.97558,                0.95589,                0.55066,                0.45749,                0.45957,                0.36359,                0.54343,                0.45556,                  0.453,                0.33645,                0.84018,                 1.5849,                 1.2393,                 1.0326,             0.00019418,             0.00019418,             0.00019418
                     26,                0.72323,                 1.2697,                0.95585,                0.95366,                0.50133,                0.49457,                0.46714,                0.36786,                0.49838,                0.49229,                0.46247,                0.34003,                0.84197,                 1.6275,                 1.2398,                  1.035,             0.00018685,             0.00018685,             0.00018685
                     27,                0.72089,                 1.2643,                0.92556,                0.95033,                0.52852,                0.45068,                0.44913,                0.35195,                0.54194,                0.44517,                0.44672,                0.33023,                 0.8408,                 1.6241,                 1.2659,                 1.0392,             0.00017952,             0.00017952,             0.00017952
                     28,                 0.7156,                 1.2523,                0.91821,                0.94823,                0.52545,                   0.46,                0.45635,                0.36502,                0.52713,                0.45913,                0.45687,                0.33931,                 0.8307,                 1.5849,                 1.2444,                 1.0323,              0.0001722,              0.0001722,              0.0001722
                     29,                0.69975,                 1.2345,                0.89544,                0.94116,                0.53503,                0.46811,                0.45743,                0.36038,                0.53552,                0.46857,                0.45524,                 0.3325,                0.81981,                 1.5994,                 1.2259,                 1.0281,             0.00016487,             0.00016487,             0.00016487
                     30,                0.69853,                 1.2391,                0.87593,                0.93802,                0.55743,                0.46147,                0.46506,                0.36962,                0.55543,                0.46162,                0.46538,                0.34504,                0.82233,                 1.6005,                 1.2288,                 1.0294,             0.00015755,             0.00015755,             0.00015755
                     31,                0.69241,                 1.2161,                0.87109,                 0.9384,                0.53651,                0.44593,                0.44949,                0.35887,                0.53051,                0.45901,                0.45008,                0.33075,                0.81864,                 1.5952,                 1.2489,                 1.0237,             0.00015022,             0.00015022,             0.00015022
                     32,                0.67885,                 1.2012,                0.84596,                0.93078,                0.51773,                0.46373,                0.44752,                0.35467,                0.52221,                0.46665,                0.44934,                0.32895,                0.81632,                 1.5779,                 1.2509,                 1.0252,             0.00014289,             0.00014289,             0.00014289
                     33,                0.68014,                 1.1904,                0.83919,                0.93313,                0.53841,                0.46103,                0.46055,                0.36325,                0.54025,                0.45828,                0.46197,                0.33945,                0.82664,                 1.6129,                 1.2455,                 1.0323,             0.00013557,             0.00013557,             0.00013557
                     34,                0.67859,                 1.1926,                0.81871,                0.92891,                 0.5638,                0.46117,                0.46176,                0.36782,                0.56692,                0.46254,                0.46208,                0.34491,                0.82226,                 1.6105,                 1.2505,                 1.0292,             0.00012824,             0.00012824,             0.00012824
                     35,                0.66708,                 1.1653,                0.80727,                0.92466,                0.58269,                0.46033,                 0.4687,                0.37353,                0.58848,                0.46525,                0.47306,                0.35016,                 0.8125,                 1.5905,                 1.2375,                 1.0276,             0.00012092,             0.00012092,             0.00012092
                     36,                0.66683,                 1.1685,                0.79566,                0.92484,                0.56257,                0.44798,                 0.4522,                0.35795,                0.56107,                0.44827,                0.45205,                0.33499,                0.81758,                 1.5911,                 1.2526,                 1.0296,             0.00011359,             0.00011359,             0.00011359
                     37,                0.65774,                 1.1627,                0.77798,                0.92186,                0.56871,                0.44604,                0.46215,                0.37043,                0.58978,                0.44793,                0.46505,                0.34601,                0.81359,                 1.6209,                 1.2326,                 1.0288,             0.00010626,             0.00010626,             0.00010626
                     38,                0.65573,                 1.1419,                0.76773,                0.91905,                0.51404,                0.48838,                0.45965,                0.36845,                 0.5181,                0.48897,                0.46133,                0.34582,                0.80414,                 1.6151,                 1.2316,                 1.0261,             9.8938e-05,             9.8938e-05,             9.8938e-05
                     39,                0.65167,                 1.1477,                0.74894,                0.91692,                0.55092,                0.46551,                0.45438,                0.36029,                0.54686,                  0.464,                0.45298,                0.33628,                0.81351,                 1.5964,                 1.2568,                  1.027,             9.1612e-05,             9.1612e-05,             9.1612e-05
                     40,                0.64309,                 1.1296,                 0.7382,                0.91353,                0.55705,                0.46705,                0.46031,                0.36754,                0.56051,                0.46793,                0.46044,                0.34496,                0.81033,                 1.5853,                 1.2417,                 1.0318,             8.4286e-05,             8.4286e-05,             8.4286e-05
                     41,                0.63488,                 1.0854,                0.64902,                0.90963,                0.54959,                0.45585,                0.45786,                0.36674,                0.62154,                0.41824,                0.45714,                0.33837,                0.81413,                 1.6443,                  1.249,                 1.0342,              7.696e-05,              7.696e-05,              7.696e-05
                     42,                 0.6178,                 1.0624,                0.60517,                0.89935,                0.54621,                0.45933,                 0.4605,                0.36945,                 0.5627,                0.44898,                0.46041,                0.34208,                0.81724,                 1.6277,                 1.2512,                 1.0409,             6.9634e-05,             6.9634e-05,             6.9634e-05
                     43,                0.61458,                 1.0436,                0.58687,                0.89497,                0.56864,                 0.4535,                0.45363,                0.36145,                0.57232,                0.44874,                0.45287,                0.33612,                0.81475,                 1.6413,                 1.2854,                 1.0358,             6.2308e-05,             6.2308e-05,             6.2308e-05
                     44,                0.60801,                 1.0391,                0.57048,                0.89346,                0.53717,                0.45362,                0.44579,                 0.3561,                0.53996,                0.45448,                 0.4467,                0.33234,                 0.8147,                 1.6139,                   1.29,                 1.0368,             5.4982e-05,             5.4982e-05,             5.4982e-05
                     45,                0.60046,                 1.0351,                0.56174,                0.88906,                 0.5638,                 0.4513,                0.45615,                0.36616,                0.58024,                0.44345,                0.45644,                0.33953,                0.80672,                 1.6089,                 1.2919,                 1.0297,             4.7656e-05,             4.7656e-05,             4.7656e-05
                     46,                 0.5939,                 1.0246,                0.54489,                0.88749,                0.54368,                0.46052,                0.45676,                0.36605,                0.55697,                0.45407,                0.45769,                0.34246,                0.80668,                 1.6316,                 1.2898,                 1.0284,              4.033e-05,              4.033e-05,              4.033e-05
                     47,                0.58634,                 1.0177,                0.53608,                0.88255,                0.55103,                0.46558,                0.45873,                0.36659,                0.55264,                0.46625,                0.45927,                  0.343,                0.80473,                 1.6041,                 1.2821,                 1.0293,             3.3004e-05,             3.3004e-05,             3.3004e-05
