                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                0.92115,                 2.0158,                 2.8192,                  1.181,                0.45815,                0.30492,                0.26342,                 0.2064,                0.45326,                0.30156,                0.26009,                 0.1914,                0.80406,                 1.6428,                 1.6551,                 1.0985,              0.0033264,              0.0033264,              0.0033264
                      2,                0.83483,                 1.6737,                 1.8012,                  1.083,                0.47232,                0.31162,                0.27852,                 0.2116,                0.47032,                0.31051,                0.27509,                0.19861,                0.87707,                 1.7205,                 1.6058,                 1.1324,              0.0066268,              0.0066268,              0.0066268
                      3,                0.91276,                 1.8076,                 1.7641,                 1.1254,                0.42558,                0.28945,                0.24723,                0.17781,                0.42352,                0.28672,                0.24388,                0.16578,                 1.0375,                  2.085,                 1.7823,                 1.2359,              0.0098941,              0.0098941,              0.0098941
                      4,                0.99692,                  1.949,                 1.8258,                 1.1795,                0.40915,                0.30175,                0.25353,                0.18513,                0.40362,                0.30091,                0.24893,                0.17175,                 1.0401,                 2.0602,                 1.7382,                 1.2435,              0.0098515,              0.0098515,              0.0098515
                      5,                0.97464,                 1.8841,                 1.7225,                 1.1581,                0.42819,                0.33671,                0.29281,                0.21638,                0.42687,                0.33456,                0.29085,                 0.2023,                0.96766,                  1.896,                  1.606,                 1.1808,               0.009802,               0.009802,               0.009802
                      6,                 0.9525,                 1.8275,                 1.6722,                  1.148,                0.44508,                0.32779,                0.29392,                0.21974,                0.44294,                0.32706,                0.29054,                0.20687,                0.94845,                 1.8465,                 1.5955,                 1.1781,              0.0097525,              0.0097525,              0.0097525
                      7,                0.92785,                 1.7692,                 1.6155,                 1.1337,                0.44842,                0.35114,                0.31051,                0.23309,                0.44952,                0.35271,                0.30805,                0.21863,                0.94699,                 1.8331,                 1.5293,                 1.1617,               0.009703,               0.009703,               0.009703
                      8,                0.91162,                  1.713,                 1.5762,                 1.1198,                 0.3941,                0.35497,                0.31562,                0.23557,                0.39802,                0.35107,                0.31228,                0.22195,                0.92121,                 1.7892,                 1.4779,                 1.1541,              0.0096535,              0.0096535,              0.0096535
                      9,                0.88343,                 1.6733,                 1.5139,                 1.0991,                0.42224,                0.37238,                0.32142,                0.24413,                 0.4176,                0.36192,                0.31797,                0.23186,                0.89493,                 1.7321,                  1.429,                 1.1377,               0.009604,               0.009604,               0.009604
                     10,                0.86969,                  1.632,                 1.4881,                 1.0924,                0.45119,                0.37871,                0.34251,                0.26073,                0.45199,                  0.377,                0.34085,                0.24734,                0.87823,                 1.6781,                 1.4077,                 1.1168,              0.0095545,              0.0095545,              0.0095545
                     11,                 0.8554,                  1.609,                 1.4482,                 1.0826,                0.43972,                0.39155,                0.33747,                0.25965,                0.44007,                0.39119,                0.33453,                0.24527,                 0.8713,                 1.6897,                 1.4399,                  1.117,               0.009505,               0.009505,               0.009505
                     12,                0.84075,                 1.5854,                  1.423,                  1.075,                0.47451,                0.37484,                0.34129,                 0.2619,                0.47435,                 0.3723,                0.33881,                0.24752,                0.86469,                 1.6344,                  1.382,                 1.1187,              0.0094555,              0.0094555,              0.0094555
                     13,                 0.8299,                 1.5458,                 1.3901,                 1.0662,                0.46414,                0.40047,                0.35579,                0.27464,                0.46284,                0.39906,                0.35332,                0.26131,                0.85673,                 1.6308,                 1.3743,                 1.1111,               0.009406,               0.009406,               0.009406
                     14,                0.81981,                 1.5116,                 1.3704,                 1.0593,                0.41543,                0.42072,                0.36342,                0.28425,                 0.4131,                0.41884,                0.36111,                0.26963,                0.82351,                 1.5729,                 1.3301,                 1.0914,              0.0093565,              0.0093565,              0.0093565
                     15,                0.81135,                 1.5022,                 1.3492,                 1.0571,                0.50397,                0.39611,                0.36463,                0.28238,                0.53075,                0.38195,                 0.3606,                0.26848,                0.83014,                 1.6119,                 1.3409,                 1.0939,               0.009307,               0.009307,               0.009307
                     16,                0.80006,                 1.4763,                 1.3329,                 1.0468,                0.41176,                0.40994,                0.36917,                0.28976,                0.41575,                0.40664,                0.36704,                0.27396,                0.82175,                 1.5723,                 1.3324,                 1.0896,              0.0092575,              0.0092575,              0.0092575
                     17,                0.79178,                 1.4598,                 1.3075,                 1.0419,                0.44373,                0.40719,                0.36769,                 0.2882,                0.44954,                0.40343,                0.36647,                0.27174,                0.83494,                 1.5976,                 1.2996,                 1.0858,               0.009208,               0.009208,               0.009208
                     18,                0.78358,                 1.4369,                 1.2805,                 1.0337,                0.47031,                0.39396,                 0.3665,                0.28706,                0.47235,                0.39273,                0.36459,                0.27068,                 0.8127,                 1.5937,                 1.3153,                 1.0754,              0.0091585,              0.0091585,              0.0091585
                     19,                0.77704,                 1.4175,                 1.2624,                 1.0326,                0.44371,                0.41458,                0.37238,                0.28982,                0.44886,                0.40876,                 0.3686,                0.27467,                0.79868,                 1.5216,                 1.2886,                 1.0692,               0.009109,               0.009109,               0.009109
                     20,                 0.7748,                 1.4171,                 1.2555,                 1.0287,                0.42837,                0.42027,                0.37452,                0.29078,                0.42926,                0.41877,                0.37116,                0.27712,                0.81167,                 1.5225,                 1.2863,                 1.0777,              0.0090595,              0.0090595,              0.0090595
                     21,                0.75892,                 1.3797,                 1.2231,                 1.0219,                0.46081,                0.41562,                0.37616,                0.29323,                0.46402,                0.40931,                0.37064,                0.27537,                0.80487,                  1.521,                  1.282,                 1.0688,                0.00901,                0.00901,                0.00901
                     22,                0.75925,                 1.3816,                 1.2179,                 1.0196,                0.45675,                0.42586,                 0.3955,                0.31257,                0.46272,                0.41992,                0.39186,                0.29449,                0.79421,                 1.5129,                 1.2566,                  1.071,              0.0089605,              0.0089605,              0.0089605
                     23,                0.74741,                 1.3694,                 1.1943,                 1.0096,                0.46804,                0.43586,                 0.3974,                0.31483,                0.46856,                0.43332,                0.39309,                0.29729,                0.79426,                 1.5201,                 1.2393,                 1.0633,               0.008911,               0.008911,               0.008911
                     24,                0.73915,                 1.3469,                 1.1831,                 1.0106,                0.46644,                0.41687,                0.39531,                0.31443,                0.46392,                0.41499,                0.39126,                0.29511,                0.78173,                 1.5165,                 1.2466,                 1.0585,              0.0088615,              0.0088615,              0.0088615
                     25,                0.73239,                 1.3201,                 1.1647,                 1.0033,                 0.4676,                0.43167,                0.38939,                0.30914,                0.46428,                0.43063,                0.38456,                0.29146,                 0.7765,                 1.4803,                 1.2406,                 1.0523,               0.008812,               0.008812,               0.008812
                     26,                0.73395,                 1.3356,                 1.1635,                 1.0053,                0.49939,                0.41024,                0.38164,                0.30193,                0.49787,                0.41086,                0.37987,                 0.2859,                0.78267,                 1.5093,                 1.2489,                 1.0556,              0.0087625,              0.0087625,              0.0087625
                     27,                0.72363,                 1.3111,                 1.1362,                0.99929,                0.47286,                0.43209,                0.40456,                0.32568,                0.47033,                0.43042,                0.40056,                0.30703,                0.76784,                 1.4862,                 1.2286,                 1.0473,               0.008713,               0.008713,               0.008713
                     28,                0.71942,                 1.2962,                 1.1207,                0.99499,                0.50713,                 0.4274,                0.39358,                0.31554,                0.51419,                0.42515,                0.39228,                0.29621,                 0.7766,                 1.4853,                 1.2261,                 1.0571,              0.0086635,              0.0086635,              0.0086635
                     29,                0.71728,                 1.2904,                 1.1046,                0.99283,                0.47341,                0.42179,                0.38573,                0.30504,                0.46942,                0.41889,                0.38353,                 0.2898,                0.77953,                 1.4704,                 1.2391,                 1.0602,               0.008614,               0.008614,               0.008614
                     30,                0.70902,                 1.2779,                 1.0968,                0.98823,                0.48392,                0.41543,                 0.3963,                0.31063,                0.48484,                0.41472,                0.39312,                0.29342,                0.77148,                 1.4912,                 1.2194,                 1.0501,              0.0085645,              0.0085645,              0.0085645
